Dec. 2, 2021   19:56:59
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 372.51s
ip = 3.933e-8A
Ap = 3.341e-7C

Time/sec, Current/A

2.010e+1, 2.865e-7
2.020e+1, 2.852e-7
2.030e+1, 2.840e-7
2.040e+1, 2.884e-7
2.050e+1, 2.868e-7
2.060e+1, 2.880e-7
2.070e+1, 2.871e-7
2.080e+1, 2.876e-7
2.090e+1, 2.864e-7
2.100e+1, 2.875e-7
2.110e+1, 2.867e-7
2.120e+1, 2.880e-7
2.130e+1, 2.872e-7
2.140e+1, 2.848e-7
2.150e+1, 2.824e-7
2.160e+1, 2.859e-7
2.170e+1, 2.811e-7
2.180e+1, 2.853e-7
2.190e+1, 2.871e-7
2.200e+1, 2.838e-7
2.210e+1, 2.810e-7
2.220e+1, 2.833e-7
2.230e+1, 2.805e-7
2.240e+1, 2.806e-7
2.250e+1, 2.788e-7
2.260e+1, 2.842e-7
2.270e+1, 2.804e-7
2.280e+1, 2.845e-7
2.290e+1, 2.799e-7
2.300e+1, 2.794e-7
2.310e+1, 2.775e-7
2.320e+1, 2.784e-7
2.330e+1, 2.797e-7
2.340e+1, 2.784e-7
2.350e+1, 2.767e-7
2.360e+1, 2.770e-7
2.370e+1, 2.792e-7
2.380e+1, 2.787e-7
2.390e+1, 2.733e-7
2.400e+1, 2.754e-7
2.410e+1, 2.758e-7
2.420e+1, 2.734e-7
2.430e+1, 2.723e-7
2.440e+1, 2.738e-7
2.450e+1, 2.734e-7
2.460e+1, 2.715e-7
2.470e+1, 2.747e-7
2.480e+1, 2.734e-7
2.490e+1, 2.741e-7
2.500e+1, 2.705e-7
2.510e+1, 2.706e-7
2.520e+1, 2.715e-7
2.530e+1, 2.687e-7
2.540e+1, 2.703e-7
2.550e+1, 2.686e-7
2.560e+1, 2.712e-7
2.570e+1, 2.687e-7
2.580e+1, 2.686e-7
2.590e+1, 2.684e-7
2.600e+1, 2.676e-7
2.610e+1, 2.676e-7
2.620e+1, 2.680e-7
2.630e+1, 2.653e-7
2.640e+1, 2.661e-7
2.650e+1, 2.667e-7
2.660e+1, 2.653e-7
2.670e+1, 2.656e-7
2.680e+1, 2.649e-7
2.690e+1, 2.687e-7
2.700e+1, 2.677e-7
2.710e+1, 2.670e-7
2.720e+1, 2.669e-7
2.730e+1, 2.676e-7
2.740e+1, 2.671e-7
2.750e+1, 2.648e-7
2.760e+1, 2.653e-7
2.770e+1, 2.665e-7
2.780e+1, 2.648e-7
2.790e+1, 2.657e-7
2.800e+1, 2.626e-7
2.810e+1, 2.639e-7
2.820e+1, 2.646e-7
2.830e+1, 2.639e-7
2.840e+1, 2.628e-7
2.850e+1, 2.602e-7
2.860e+1, 2.648e-7
2.870e+1, 2.619e-7
2.880e+1, 2.620e-7
2.890e+1, 2.618e-7
2.900e+1, 2.600e-7
2.910e+1, 2.610e-7
2.920e+1, 2.594e-7
2.930e+1, 2.639e-7
2.940e+1, 2.619e-7
2.950e+1, 2.596e-7
2.960e+1, 2.617e-7
2.970e+1, 2.613e-7
2.980e+1, 2.603e-7
2.990e+1, 2.599e-7
3.000e+1, 2.586e-7
3.010e+1, 2.574e-7
3.020e+1, 2.579e-7
3.030e+1, 2.570e-7
3.040e+1, 2.581e-7
3.050e+1, 2.562e-7
3.060e+1, 2.573e-7
3.070e+1, 2.570e-7
3.080e+1, 2.572e-7
3.090e+1, 2.561e-7
3.100e+1, 2.578e-7
3.110e+1, 2.550e-7
3.120e+1, 2.579e-7
3.130e+1, 2.550e-7
3.140e+1, 2.574e-7
3.150e+1, 2.566e-7
3.160e+1, 2.594e-7
3.170e+1, 2.545e-7
3.180e+1, 2.587e-7
3.190e+1, 2.581e-7
3.200e+1, 2.560e-7
3.210e+1, 2.557e-7
3.220e+1, 2.551e-7
3.230e+1, 2.529e-7
3.240e+1, 2.555e-7
3.250e+1, 2.537e-7
3.260e+1, 2.549e-7
3.270e+1, 2.533e-7
3.280e+1, 2.543e-7
3.290e+1, 2.528e-7
3.300e+1, 2.493e-7
3.310e+1, 2.519e-7
3.320e+1, 2.567e-7
3.330e+1, 2.527e-7
3.340e+1, 2.520e-7
3.350e+1, 2.516e-7
3.360e+1, 2.515e-7
3.370e+1, 2.507e-7
3.380e+1, 2.528e-7
3.390e+1, 2.491e-7
3.400e+1, 2.510e-7
3.410e+1, 2.537e-7
3.420e+1, 2.480e-7
3.430e+1, 2.496e-7
3.440e+1, 2.474e-7
3.450e+1, 2.510e-7
3.460e+1, 2.485e-7
3.470e+1, 2.491e-7
3.480e+1, 2.485e-7
3.490e+1, 2.498e-7
3.500e+1, 2.468e-7
3.510e+1, 2.455e-7
3.520e+1, 2.471e-7
3.530e+1, 2.473e-7
3.540e+1, 2.441e-7
3.550e+1, 2.472e-7
3.560e+1, 2.418e-7
3.570e+1, 2.487e-7
3.580e+1, 2.424e-7
3.590e+1, 2.451e-7
3.600e+1, 2.439e-7
3.610e+1, 2.485e-7
3.620e+1, 2.456e-7
3.630e+1, 2.457e-7
3.640e+1, 2.454e-7
3.650e+1, 2.448e-7
3.660e+1, 2.433e-7
3.670e+1, 2.441e-7
3.680e+1, 2.421e-7
3.690e+1, 2.431e-7
3.700e+1, 2.449e-7
3.710e+1, 2.452e-7
3.720e+1, 2.443e-7
3.730e+1, 2.435e-7
3.740e+1, 2.409e-7
3.750e+1, 2.396e-7
3.760e+1, 2.414e-7
3.770e+1, 2.396e-7
3.780e+1, 2.412e-7
3.790e+1, 2.399e-7
3.800e+1, 2.399e-7
3.810e+1, 2.407e-7
3.820e+1, 2.401e-7
3.830e+1, 2.404e-7
3.840e+1, 2.400e-7
3.850e+1, 2.380e-7
3.860e+1, 2.423e-7
3.870e+1, 2.416e-7
3.880e+1, 2.413e-7
3.890e+1, 2.409e-7
3.900e+1, 2.379e-7
3.910e+1, 2.378e-7
3.920e+1, 2.458e-7
3.930e+1, 2.440e-7
3.940e+1, 2.382e-7
3.950e+1, 2.380e-7
3.960e+1, 2.393e-7
3.970e+1, 2.363e-7
3.980e+1, 2.358e-7
3.990e+1, 2.374e-7
4.000e+1, 2.353e-7
4.010e+1, 2.367e-7
4.020e+1, 2.344e-7
4.030e+1, 2.359e-7
4.040e+1, 2.335e-7
4.050e+1, 2.359e-7
4.060e+1, 2.354e-7
4.070e+1, 2.335e-7
4.080e+1, 2.364e-7
4.090e+1, 2.320e-7
4.100e+1, 2.326e-7
4.110e+1, 2.339e-7
4.120e+1, 2.361e-7
4.130e+1, 2.346e-7
4.140e+1, 2.331e-7
4.150e+1, 2.329e-7
4.160e+1, 2.298e-7
4.170e+1, 2.308e-7
4.180e+1, 2.306e-7
4.190e+1, 2.340e-7
4.200e+1, 2.338e-7
4.210e+1, 2.313e-7
4.220e+1, 2.328e-7
4.230e+1, 2.320e-7
4.240e+1, 2.313e-7
4.250e+1, 2.300e-7
4.260e+1, 2.318e-7
4.270e+1, 2.290e-7
4.280e+1, 2.333e-7
4.290e+1, 2.310e-7
4.300e+1, 2.295e-7
4.310e+1, 2.289e-7
4.320e+1, 2.314e-7
4.330e+1, 2.320e-7
4.340e+1, 2.309e-7
4.350e+1, 2.318e-7
4.360e+1, 2.277e-7
4.370e+1, 2.303e-7
4.380e+1, 2.260e-7
4.390e+1, 2.298e-7
4.400e+1, 2.297e-7
4.410e+1, 2.307e-7
4.420e+1, 2.338e-7
4.430e+1, 2.310e-7
4.440e+1, 2.294e-7
4.450e+1, 2.279e-7
4.460e+1, 2.301e-7
4.470e+1, 2.278e-7
4.480e+1, 2.314e-7
4.490e+1, 2.308e-7
4.500e+1, 2.241e-7
4.510e+1, 2.267e-7
4.520e+1, 2.262e-7
4.530e+1, 2.281e-7
4.540e+1, 2.261e-7
4.550e+1, 2.256e-7
4.560e+1, 2.242e-7
4.570e+1, 2.268e-7
4.580e+1, 2.268e-7
4.590e+1, 2.250e-7
4.600e+1, 2.232e-7
4.610e+1, 2.248e-7
4.620e+1, 2.232e-7
4.630e+1, 2.228e-7
4.640e+1, 2.266e-7
4.650e+1, 2.248e-7
4.660e+1, 2.253e-7
4.670e+1, 2.264e-7
4.680e+1, 2.233e-7
4.690e+1, 2.217e-7
4.700e+1, 2.220e-7
4.710e+1, 2.193e-7
4.720e+1, 2.267e-7
4.730e+1, 2.219e-7
4.740e+1, 2.222e-7
4.750e+1, 2.210e-7
4.760e+1, 2.225e-7
4.770e+1, 2.216e-7
4.780e+1, 2.212e-7
