0,-0.3366
0.001,-0.2358
0.002,-0.1933
0.003,-0.1705
0.004,-0.1502
0.005,-0.1361
0.006,-0.1208
0.007,-0.1077
0.008,-0.09656
0.009,-0.08496
0.01,-0.07395
0.011,-0.06451
0.012,-0.05478
0.013,-0.04603
0.014,-0.03807
0.015,-0.0302
0.016,-0.02361
0.017,-0.01673
0.018,-0.01113
0.019,-0.004149
0.02,0.002438
0.021,0.008042
0.022,0.01384
0.023,0.01964
0.024,0.02485
0.025,0.03164
0.026,0.03586
0.027,0.04039
0.028,0.04687
0.029,0.05081
0.03,0.05474
0.031,0.05857
0.032,0.06103
0.033,0.06644
0.034,0.06968
0.035,0.07411
0.036,0.07922
0.037,0.08217
0.038,0.08689
0.039,0.09111
0.04,0.09406
0.041,0.09701
0.042,0.1004
0.043,0.1044
0.044,0.1091
0.045,0.1121
0.046,0.1156
0.047,0.1197
0.048,0.1243
0.049,0.1261
0.05,0.1279
0.051,0.134
0.052,0.138
0.053,0.1414
0.054,0.1449
0.055,0.1472
0.056,0.1505
0.057,0.1542
0.058,0.1576
0.059,0.1604
0.06,0.1623
0.061,0.1632
0.062,0.1672
0.063,0.1705
0.064,0.175
0.065,0.1785
0.066,0.1808
0.067,0.1843
0.068,0.1877
0.069,0.1883
0.07,0.1925
0.071,0.1969
0.072,0.1984
0.073,0.203
0.074,0.2054
0.075,0.2088
0.076,0.212
0.077,0.2145
0.078,0.217
0.079,0.2199
0.08,0.2232
0.081,0.2265
0.082,0.2288
0.083,0.2331
0.084,0.2348
0.085,0.2365
0.086,0.2413
0.087,0.2439
0.088,0.2458
0.089,0.2497
0.09,0.2524
0.091,0.2552
0.092,0.2586
0.093,0.2612
0.094,0.264
0.095,0.2659
0.096,0.2698
0.097,0.273
0.098,0.2758
0.099,0.278
0.1,0.2814
0.101,0.2827
0.102,0.2877
0.103,0.2921
0.104,0.2942
0.105,0.2982
0.106,0.3009
0.107,0.3034
0.108,0.3068
0.109,0.3099
0.11,0.3125
0.111,0.315
0.112,0.3175
0.113,0.3215
0.114,0.3242
0.115,0.3286
0.116,0.3309
0.117,0.334
0.118,0.3373
0.119,0.3394
0.12,0.3427
0.121,0.3468
0.122,0.3483
0.123,0.3511
0.124,0.3537
0.125,0.3561
0.126,0.3599
0.127,0.3634
0.128,0.3673
0.129,0.3715
0.13,0.3741
0.131,0.3765
0.132,0.3803
0.133,0.3821
0.134,0.387
0.135,0.3906
0.136,0.3933
0.137,0.3974
0.138,0.3999
0.139,0.4027
0.14,0.4051
0.141,0.4085
0.142,0.4103
0.143,0.4126
0.144,0.4159
0.145,0.4196
0.146,0.4211
0.147,0.4261
0.148,0.4277
0.149,0.4293
0.15,0.4341
0.151,0.4369
0.152,0.4407
0.153,0.4453
0.154,0.4491
0.155,0.451
0.156,0.4546
0.157,0.4573
0.158,0.4606
0.159,0.4622
0.16,0.4664
0.161,0.4702
0.162,0.4712
0.163,0.4749
0.164,0.4785
0.165,0.4806
0.166,0.4829
0.167,0.4866
0.168,0.4878
0.169,0.4927
0.17,0.4959
0.171,0.4998
0.172,0.5024
0.173,0.5046
0.174,0.5077
0.175,0.5107
0.176,0.5135
0.177,0.5162
0.178,0.5172
0.179,0.5199
0.18,0.5259
0.181,0.5282
0.182,0.5326
0.183,0.5357
0.184,0.5396
0.185,0.5433
0.186,0.5467
0.187,0.5475
0.188,0.5503
0.189,0.5541
0.19,0.5565
0.191,0.5599
0.192,0.5659
0.193,0.5689
0.194,0.5713
0.195,0.5738
0.196,0.5766
0.197,0.5778
0.198,0.5834
0.199,0.5866
0.2,0.5891
0.201,0.5944
0.202,0.5967
0.203,0.6007
0.204,0.6053
0.205,0.6103
0.206,0.6127
0.207,0.6137
0.208,0.6172
0.209,0.6207
0.21,0.6244
0.211,0.6275
0.212,0.6313
0.213,0.6334
0.214,0.6364
0.215,0.6407
0.216,0.6441
0.217,0.6481
0.218,0.6508
0.219,0.6548
0.22,0.6579
0.221,0.6622
0.222,0.6664
0.223,0.6694
0.224,0.6734
0.225,0.6777
0.226,0.6804
0.227,0.6839
0.228,0.6877
0.229,0.6896
0.23,0.6944
0.231,0.6981
0.232,0.7011
0.233,0.706
0.234,0.7082
0.235,0.7126
0.236,0.7155
0.237,0.7181
0.238,0.7226
0.239,0.7269
0.24,0.73
0.241,0.7334
0.242,0.7364
0.243,0.7401
0.244,0.7442
0.245,0.7471
0.246,0.7516
0.247,0.7559
0.248,0.759
0.249,0.7626
0.25,0.7682
0.251,0.7726
0.252,0.7767
0.253,0.7792
0.254,0.7843
0.255,0.7881
0.256,0.794
0.257,0.7964
0.258,0.8002
0.259,0.8054
0.26,0.8082
0.261,0.8114
0.262,0.8171
0.263,0.82
0.264,0.8244
0.265,0.8295
0.266,0.832
0.267,0.8361
0.268,0.8428
0.269,0.8481
0.27,0.8529
0.271,0.8563
0.272,0.8589
0.273,0.8644
0.274,0.8677
0.275,0.8727
0.276,0.8767
0.277,0.881
0.278,0.8862
0.279,0.8905
0.28,0.8943
0.281,0.8999
0.282,0.9036
0.283,0.9078
0.284,0.9139
0.285,0.9182
0.286,0.9237
0.287,0.9267
0.288,0.9319
0.289,0.9354
0.29,0.9388
0.291,0.9456
0.292,0.9509
0.293,0.9548
0.294,0.9605
0.295,0.965
0.296,0.9687
0.297,0.9758
0.298,0.9784
0.299,0.9819
0.3,0.988
0.301,0.9939
0.302,0.9983
0.303,1.004
0.304,1.008
0.305,1.012
0.306,1.016
0.307,1.023
0.308,1.029
0.309,1.033
0.31,1.036
0.311,1.041
