Dec. 2, 2021   20:40:44
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 169.20s
ip = 9.721e-9A
Ap = 6.985e-8C

tp = 191.40s
ip = 1.208e-8A
Ap = 5.135e-8C

Time/sec, Current/A
1.990e+1, 5.364e-6
2.000e+1, 5.346e-6
2.010e+1, 5.336e-6
2.020e+1, 5.313e-6
2.030e+1, 5.295e-6
2.040e+1, 5.276e-6
2.050e+1, 5.259e-6
2.060e+1, 5.231e-6
2.070e+1, 5.215e-6
2.080e+1, 5.201e-6
2.090e+1, 5.177e-6
2.100e+1, 5.157e-6
2.110e+1, 5.152e-6
2.120e+1, 5.136e-6
2.130e+1, 5.125e-6
2.140e+1, 5.114e-6
2.150e+1, 5.097e-6
2.160e+1, 5.078e-6
2.170e+1, 5.059e-6
2.180e+1, 5.043e-6
2.190e+1, 5.040e-6
2.200e+1, 5.019e-6
2.210e+1, 5.001e-6
2.220e+1, 4.985e-6
2.230e+1, 4.968e-6
2.240e+1, 4.960e-6
2.250e+1, 4.956e-6
2.260e+1, 4.945e-6
2.270e+1, 4.923e-6
2.280e+1, 4.918e-6
2.290e+1, 4.908e-6
2.300e+1, 4.903e-6
2.310e+1, 4.896e-6
2.320e+1, 4.889e-6
2.330e+1, 4.872e-6
2.340e+1, 4.867e-6
2.350e+1, 4.858e-6
2.360e+1, 4.846e-6
2.370e+1, 4.843e-6
2.380e+1, 4.840e-6
2.390e+1, 4.824e-6
2.400e+1, 4.815e-6
2.410e+1, 4.806e-6
2.420e+1, 4.797e-6
2.430e+1, 4.792e-6
2.440e+1, 4.781e-6
2.450e+1, 4.774e-6
2.460e+1, 4.764e-6
2.470e+1, 4.751e-6
2.480e+1, 4.738e-6
2.490e+1, 4.722e-6
2.500e+1, 4.706e-6
2.510e+1, 4.694e-6
2.520e+1, 4.684e-6
2.530e+1, 4.672e-6
2.540e+1, 4.656e-6
2.550e+1, 4.645e-6
2.560e+1, 4.636e-6
2.570e+1, 4.622e-6
2.580e+1, 4.612e-6
2.590e+1, 4.603e-6
2.600e+1, 4.595e-6
2.610e+1, 4.588e-6
2.620e+1, 4.575e-6
2.630e+1, 4.559e-6
2.640e+1, 4.543e-6
2.650e+1, 4.530e-6
2.660e+1, 4.515e-6
2.670e+1, 4.502e-6
2.680e+1, 4.490e-6
2.690e+1, 4.473e-6
2.700e+1, 4.463e-6
2.710e+1, 4.441e-6
2.720e+1, 4.436e-6
2.730e+1, 4.419e-6
2.740e+1, 4.404e-6
2.750e+1, 4.396e-6
2.760e+1, 4.384e-6
2.770e+1, 4.378e-6
2.780e+1, 4.366e-6
2.790e+1, 4.355e-6
2.800e+1, 4.339e-6
2.810e+1, 4.317e-6
2.820e+1, 4.302e-6
2.830e+1, 4.292e-6
2.840e+1, 4.278e-6
2.850e+1, 4.264e-6
2.860e+1, 4.254e-6
2.870e+1, 4.237e-6
2.880e+1, 4.228e-6
2.890e+1, 4.205e-6
2.900e+1, 4.185e-6
2.910e+1, 4.179e-6
2.920e+1, 4.164e-6
2.930e+1, 4.154e-6
2.940e+1, 4.139e-6
2.950e+1, 4.135e-6
2.960e+1, 4.110e-6
2.970e+1, 4.093e-6
2.980e+1, 4.080e-6
2.990e+1, 4.062e-6
3.000e+1, 4.053e-6
3.010e+1, 4.035e-6
3.020e+1, 4.024e-6
3.030e+1, 4.011e-6
3.040e+1, 4.001e-6
3.050e+1, 3.984e-6
3.060e+1, 3.972e-6
3.070e+1, 3.962e-6
3.080e+1, 3.948e-6
3.090e+1, 3.933e-6
3.100e+1, 3.925e-6
3.110e+1, 3.920e-6
3.120e+1, 3.910e-6
3.130e+1, 3.897e-6
3.140e+1, 3.882e-6
3.150e+1, 3.876e-6
3.160e+1, 3.861e-6
3.170e+1, 3.858e-6
3.180e+1, 3.843e-6
3.190e+1, 3.827e-6
3.200e+1, 3.814e-6
3.210e+1, 3.812e-6
3.220e+1, 3.800e-6
3.230e+1, 3.793e-6
3.240e+1, 3.788e-6
3.250e+1, 3.771e-6
3.260e+1, 3.765e-6
3.270e+1, 3.756e-6
3.280e+1, 3.747e-6
3.290e+1, 3.732e-6
3.300e+1, 3.726e-6
3.310e+1, 3.716e-6
3.320e+1, 3.709e-6
3.330e+1, 3.704e-6
3.340e+1, 3.689e-6
3.350e+1, 3.673e-6
3.360e+1, 3.668e-6
3.370e+1, 3.658e-6
3.380e+1, 3.644e-6
3.390e+1, 3.635e-6
3.400e+1, 3.629e-6
3.410e+1, 3.620e-6
3.420e+1, 3.606e-6
3.430e+1, 3.596e-6
3.440e+1, 3.582e-6
3.450e+1, 3.582e-6
3.460e+1, 3.567e-6
3.470e+1, 3.566e-6
3.480e+1, 3.559e-6
3.490e+1, 3.549e-6
3.500e+1, 3.543e-6
3.510e+1, 3.527e-6
3.520e+1, 3.529e-6
3.530e+1, 3.518e-6
3.540e+1, 3.503e-6
3.550e+1, 3.499e-6
3.560e+1, 3.490e-6
3.570e+1, 3.477e-6
3.580e+1, 3.473e-6
3.590e+1, 3.467e-6
3.600e+1, 3.463e-6
3.610e+1, 3.447e-6
3.620e+1, 3.443e-6
3.630e+1, 3.426e-6
3.640e+1, 3.428e-6
3.650e+1, 3.421e-6
3.660e+1, 3.411e-6
3.670e+1, 3.403e-6
3.680e+1, 3.394e-6
3.690e+1, 3.387e-6
3.700e+1, 3.384e-6
3.710e+1, 3.371e-6
3.720e+1, 3.358e-6
3.730e+1, 3.357e-6
3.740e+1, 3.356e-6
3.750e+1, 3.341e-6
3.760e+1, 3.332e-6
3.770e+1, 3.334e-6
3.780e+1, 3.326e-6
3.790e+1, 3.314e-6
3.800e+1, 3.313e-6
3.810e+1, 3.308e-6
3.820e+1, 3.304e-6
3.830e+1, 3.303e-6
3.840e+1, 3.292e-6
3.850e+1, 3.289e-6
3.860e+1, 3.283e-6
3.870e+1, 3.282e-6
3.880e+1, 3.279e-6
3.890e+1, 3.270e-6
3.900e+1, 3.266e-6
3.910e+1, 3.264e-6
3.920e+1, 3.255e-6
3.930e+1, 3.251e-6
3.940e+1, 3.252e-6
3.950e+1, 3.246e-6
3.960e+1, 3.245e-6
3.970e+1, 3.233e-6
3.980e+1, 3.219e-6
3.990e+1, 3.229e-6
4.000e+1, 3.220e-6
4.010e+1, 3.212e-6
4.020e+1, 3.211e-6
4.030e+1, 3.215e-6
4.040e+1, 3.201e-6
4.050e+1, 3.200e-6
4.060e+1, 3.199e-6
4.070e+1, 3.191e-6
4.080e+1, 3.182e-6
4.090e+1, 3.184e-6
4.100e+1, 3.174e-6
4.110e+1, 3.169e-6
4.120e+1, 3.164e-6
4.130e+1, 3.159e-6
4.140e+1, 3.152e-6
4.150e+1, 3.150e-6
4.160e+1, 3.142e-6
4.170e+1, 3.144e-6
4.180e+1, 3.140e-6
4.190e+1, 3.137e-6
4.200e+1, 3.127e-6
4.210e+1, 3.132e-6
4.220e+1, 3.128e-6
4.230e+1, 3.117e-6
4.240e+1, 3.111e-6
4.250e+1, 3.101e-6
4.260e+1, 3.102e-6
4.270e+1, 3.092e-6
4.280e+1, 3.094e-6
4.290e+1, 3.082e-6
4.300e+1, 3.077e-6
