0.237	87.36e-6
0.238	91.9e-6
0.239	96.47e-6
0.24	101.1e-6
0.241	105.7e-6
0.242	110.3e-6
0.243	114.9e-6
0.244	119.5e-6
0.245	124.1e-6
0.246	128.6e-6
0.247	133.1e-6
0.248	137.5e-6
0.249	141.8e-6
0.25	146e-6
0.251	150.1e-6
0.252	154.1e-6
0.253	157.9e-6
0.254	161.5e-6
0.255	164.9e-6
0.256	168.1e-6
0.257	171e-6
0.258	173.7e-6
0.259	176e-6
0.26	178e-6
0.261	179.7e-6
0.262	181e-6
0.263	181.8e-6
0.264	182.2e-6
0.265	182.1e-6
0.266	181.5e-6
0.267	180.4e-6
0.268	178.8e-6
0.269	176.7e-6
0.27	174e-6
0.271	170.9e-6
0.272	167.4e-6
0.273	163.4e-6
0.274	158.9e-6
0.275	154.2e-6
0.276	149.1e-6
0.277	143.9e-6
0.278	138.4e-6
0.279	132.7e-6
0.28	127.1e-6
0.281	121.4e-6
0.282	115.9e-6
0.283	110.4e-6
0.284	105.1e-6
0.285	99.91e-6
0.286	95.02e-6
0.287	90.32e-6
0.288	85.89e-6
0.289	81.71e-6
0.29	77.76e-6
0.291	74.06e-6
0.292	70.59e-6
0.293	67.34e-6
0.294	64.32e-6
0.295	61.51e-6
0.296	58.91e-6
0.297	56.51e-6
0.298	54.27e-6
0.299	52.23e-6
0.3	50.35e-6
0.301	48.62e-6
0.302	47.01e-6
0.303	45.52e-6
0.304	44.17e-6
0.305	42.9e-6
0.306	41.72e-6
0.307	40.65e-6
0.308	39.68e-6
0.309	38.73e-6
0.31	37.84e-6
0.311	36.97e-6
0.312	36.17e-6
0.313	35.42e-6
0.314	34.72e-6
0.315	34.05e-6
0.316	33.38e-6
0.317	32.75e-6
0.318	32.15e-6
0.319	31.59e-6
0.32	31.06e-6
0.321	30.54e-6
0.322	30.03e-6
0.323	29.56e-6
0.324	29.11e-6
0.325	28.68e-6
0.326	28.28e-6
0.327	27.89e-6
0.328	27.52e-6
0.329	27.16e-6
0.33	26.82e-6
0.331	26.51e-6
0.332	26.2e-6
0.333	25.9e-6
0.334	25.63e-6
0.335	25.35e-6
0.336	25.09e-6
0.337	24.85e-6
0.338	24.61e-6
0.339	24.39e-6
0.34	24.18e-6
0.341	23.96e-6
0.342	23.75e-6
0.343	23.55e-6
0.344	23.37e-6
0.345	23.19e-6
0.346	23.02e-6
0.347	22.85e-6
0.348	22.67e-6
0.349	22.5e-6
0.35	22.34e-6
0.351	22.17e-6
0.352	22.03e-6
0.353	21.89e-6
0.354	21.74e-6
0.355	21.6e-6
0.356	21.45e-6
0.357	21.32e-6
0.358	21.2e-6
0.359	21.09e-6
0.36	20.97e-6
0.361	20.84e-6
0.362	20.72e-6
0.363	20.62e-6
0.364	20.5e-6
0.365	20.39e-6
0.366	20.3e-6
0.367	20.19e-6
0.368	20.09e-6
0.369	20e-6
0.37	19.89e-6
0.371	19.82e-6
0.372	19.73e-6
0.373	19.65e-6
0.374	19.55e-6
0.375	19.46e-6
0.376	19.39e-6
0.377	19.31e-6
0.378	19.23e-6
0.379	19.18e-6
0.38	19.1e-6
0.381	19.04e-6
0.382	18.98e-6
0.383	18.9e-6
0.384	18.85e-6
0.385	18.79e-6
0.386	18.72e-6
0.387	18.68e-6
0.388	18.62e-6
0.389	18.56e-6
0.39	18.51e-6
0.391	18.44e-6
0.392	18.4e-6
0.393	18.36e-6
0.394	18.3e-6
0.395	18.26e-6
0.396	18.22e-6
0.397	18.19e-6
0.398	18.16e-6
0.399	18.1e-6
0.4	18.08e-6
0.401	18.04e-6
0.402	17.99e-6
0.403	17.97e-6
0.404	17.94e-6
0.405	17.91e-6
0.406	17.88e-6
0.407	17.85e-6
0.408	17.83e-6
0.409	17.8e-6
0.41	17.78e-6
0.411	17.77e-6
0.412	17.74e-6
0.413	17.71e-6
0.414	17.69e-6
0.415	17.66e-6
0.416	17.65e-6
0.417	17.64e-6
0.418	17.61e-6
0.419	17.61e-6
0.42	17.58e-6
0.421	17.57e-6
0.422	17.56e-6
0.423	17.55e-6
0.424	17.54e-6
0.425	17.52e-6
0.426	17.51e-6
0.427	17.5e-6
0.428	17.49e-6
0.429	17.5e-6
0.43	17.5e-6
0.431	17.49e-6
0.432	17.49e-6
0.433	17.49e-6
0.434	17.48e-6
0.435	17.5e-6
0.436	17.51e-6
0.437	17.51e-6
0.438	17.52e-6
0.439	17.51e-6
0.44	17.52e-6
0.441	17.53e-6
0.442	17.54e-6
0.443	17.56e-6
0.444	17.57e-6
0.445	17.58e-6
0.446	17.61e-6
0.447	17.61e-6
0.448	17.63e-6
0.449	17.65e-6
0.45	17.66e-6
0.451	17.69e-6
0.452	17.7e-6
0.453	17.72e-6
0.454	17.75e-6
0.455	17.78e-6
0.456	17.81e-6
0.457	17.83e-6
0.458	17.84e-6
0.459	17.89e-6
0.46	17.91e-6
0.461	17.96e-6
0.462	18e-6
0.463	18.01e-6
0.464	18.05e-6
0.465	18.09e-6
0.466	18.11e-6
0.467	18.15e-6
0.468	18.19e-6
0.469	18.24e-6
0.47	18.28e-6
0.471	18.32e-6
0.472	18.36e-6
0.473	18.4e-6
0.474	18.45e-6
0.475	18.5e-6
0.476	18.52e-6
0.477	18.58e-6
0.478	18.63e-6
0.479	18.66e-6
0.48	18.72e-6
0.481	18.78e-6
0.482	18.81e-6
0.483	18.88e-6
0.484	18.92e-6
0.485	18.97e-6
0.486	19.03e-6
0.487	19.07e-6
0.488	19.14e-6
0.489	19.2e-6
0.49	19.25e-6
0.491	19.31e-6
0.492	19.37e-6
0.493	19.44e-6
0.494	19.51e-6
0.495	19.56e-6
0.496	19.63e-6
0.497	19.69e-6
0.498	19.75e-6
0.499	19.83e-6
0.5	19.9e-6
0.501	19.97e-6
0.502	20.05e-6
0.503	20.11e-6
0.504	20.19e-6
0.505	20.27e-6
0.506	20.35e-6
0.507	20.46e-6
0.508	20.52e-6
0.509	20.61e-6
0.51	20.7e-6
0.511	20.78e-6
0.512	20.9e-6
0.513	21.02e-6
0.514	21.09e-6
0.515	21.18e-6
0.516	21.26e-6
0.517	21.35e-6
0.518	21.46e-6
0.519	21.56e-6
0.52	21.67e-6
0.521	21.77e-6
0.522	21.87e-6
0.523	22e-6
0.524	22.11e-6
0.525	22.24e-6
0.526	22.37e-6
0.527	22.48e-6
0.528	22.61e-6
0.529	22.74e-6
0.53	22.86e-6
0.531	23.01e-6
0.532	23.15e-6
0.533	23.29e-6
0.534	23.44e-6
0.535	23.58e-6
0.536	23.73e-6
0.537	23.88e-6
0.538	24.04e-6
0.539	24.21e-6
0.54	24.36e-6
0.541	24.53e-6
0.542	24.71e-6
0.543	24.87e-6
0.544	25.05e-6
0.545	25.23e-6
0.546	25.39e-6
0.547	25.59e-6
0.548	25.78e-6
0.549	25.96e-6
0.55	26.15e-6
0.551	26.35e-6
0.552	26.56e-6
0.553	26.76e-6
0.554	26.95e-6
0.555	27.16e-6
0.556	27.36e-6
0.557	27.59e-6
0.558	27.82e-6
0.559	28.02e-6
0.56	28.23e-6
0.561	28.46e-6
0.562	28.69e-6
0.563	28.93e-6
0.564	29.17e-6
0.565	29.4e-6
0.566	29.63e-6
0.567	29.85e-6
0.568	30.1e-6
0.569	30.33e-6
0.57	30.58e-6
0.571	30.82e-6
0.572	31.07e-6
0.573	31.3e-6
0.574	31.55e-6
0.575	31.79e-6
0.576	32.06e-6
0.577	32.3e-6
0.578	32.53e-6
0.579	32.79e-6
0.58	33.03e-6
0.581	33.28e-6
0.582	33.53e-6
0.583	33.78e-6
0.584	34.03e-6
0.585	34.27e-6
0.586	34.51e-6
0.587	34.77e-6
0.588	35e-6
0.589	35.23e-6
0.59	35.47e-6
0.591	35.7e-6
0.592	35.96e-6
0.593	36.18e-6
0.594	36.4e-6
0.595	36.65e-6
0.596	36.88e-6
0.597	37.1e-6
0.598	37.34e-6
0.599	37.55e-6
0.6	37.79e-6
0.601	38.01e-6
0.602	38.23e-6
0.603	38.48e-6
0.604	38.68e-6
0.605	38.91e-6
0.606	39.14e-6
0.607	39.35e-6
0.608	39.58e-6
0.609	39.81e-6
0.61	40.01e-6
0.611	40.24e-6
0.612	40.45e-6
0.613	40.66e-6
0.614	40.88e-6
0.615	41.13e-6
0.616	41.37e-6
0.617	41.57e-6
